Label, Parts Of Speech
a,noun
name,noun
script,verb;noun
the,adverb
letter,verb;noun
of,preposition
latin,Default
word,interjection;verb;noun
phrase,verb;noun
any,adverb;pronoun
which,pronoun
or,Default
class,verb;adjective;noun
place,noun
particular,adjective;noun
thing,verb;noun
nounal,Default
indicates,verb
person,Default
reputation,noun
epithet,verb;noun
abusive,adjective
an,Default
insulting,noun;adjective;verb
legal,Default
those,Default
family,Default
race,Default
certain,Default
unique,Default
identifier,Default
string,Default
generally,Default
characters,Default
in,Default
unlimited,Default
investor,Default
lloyds,Default
london,Default
bearing,Default
liability,Default
authority,Default
writing,Default
document,Default
written,Default
style,Default
type,Default
imitation,Default
made,Default
handwriting,Default
original,Default
instrument,Default
drama,Default
itself,Default
for,Default
especially,Default
text,Default
play,Default
movie,Default
used,Default
stage,Default
final,Default
containing,Default
form,Default
action,Default
other,Default
performance,Default
and,Default
dialogue,Default
invoked,Default
file,Default
user,Default
be,Default
sequence,Default
list,Default
commands,Default
once,Default
them,Default
execute,Default
allowing,Default
to,Default
adapted,Default
set,Default
language,Default
languages,Default
system,Default
prescription,Default
short,Default
make,Default
write,Default
comparatives,Default
comparative,Default
establishes,Default
correlation,Default
such,Default
with,Default
more,Default
one,Default
verb,Default
see,Default
said,Default
can,Default
negated,Default
it,Default
often,Default
this,Default
like,Default
result,Default
none,Default
symbol,verb;noun
alphabet,Default
note,verb;noun
printed,Default
than,adverb;conjunction;preposition
longer,adverb;adjective
communication,noun
formal,adjective;noun
meaning,noun
from,Default
its,pronoun;noun
intended,Default
spirit,verb;noun
literal,adjective;noun
remoter,adjective
distinguished,adjective;verb
something,Default
contrasted,Default
as,Default
literature,Default
plural,Default
unit,Default
law,Default
piece,Default
by,Default
division,Default
marked,Default
paper,Default
us,Default
size,Default
nearest,Default
sizes,Default
mm,Default
rounded,Default
single,Default
collectively,Default
inscribe,Default
print,Default
paint,Default
on,Default
letters,Default
scholastic,Default
award,Default
varsity,Default
earn,Default
that,Default
is,Default
member,Default
cloth,Default
team,Default
awarded,Default
sweater,Default
identifying,Default
academic,Default
initial,Default
clothing,Default
institution,Default
structured,Default
sewn,Default
jacket,Default
expressing,Default
distance,Default
motion,Default
separation,Default
origin,Default
agency,Default
substance,Default
composition,Default
introducing,Default
matter,Default
subject,Default
having,Default
effect,Default
partitive,Default
possession,Default
genitive,Default
objective,Default
forming,Default
qualities,Default
characteristics,Default
time,Default
point,Default
morpheme,Default
contrast,Default
expressed,Default
meaningful,Default
has,Default
smallest,Default
discrete,Default
speaking,Default
act,Default
fact,Default
opposed,Default
taking,Default
utterance,Default
speech,Default
someone,Default
comment,Default
verbal,Default
when,Default
multiple,Default
watchword,Default
words,Default
consisting,Default
rallying,Default
cry,verb;noun
even,adverb;verb;adjective;noun
signal,verb;adjective;noun
motto,noun
proverb,verb;noun
tidings,noun
news,verb;noun
without,adverb;conjunction;preposition
article,verb;noun
order,verb;noun
instruction,noun
expression,noun
will,verb
request,verb;noun
guarantee,verb;noun
oath,verb;noun
promise,verb;noun
conversation,verb;noun
discussion,noun
brief,adverb;verb;adjective;noun
sometimes,Default
god,Default
christian,Default
gospel,Default
message,Default
scripture,Default
bible,Default
logos,Default
christ,Default
using,Default
say,Default
cajole,Default
flatter,Default
overpower,Default
ply,Default
conjure,Default
use,Default
speak,Default
discourse,Default
converse,Default
bond,Default
truth,Default
shortened,Default
my,Default
indeed,Default
statement,Default
hint,Default
up,Default
nonchalant,Default
abbreviated,Default
acknowledgment,Default
stereotypically,Default
approval,Default
spoken,Default
sentence,Default
group,Default
central,Default
syntax,Default
usually,Default
head,Default
elaborating,Default
grammar,Default
functions,Default
music,Default
section,Default
larger,Default
small,Default
mode,Default
diction,Default
thought,Default
idea,Default
means,Default
express,Default
perform,Default
passage,Default
phrasing,Default
correct,Default
into,Default
phrases,Default
divide,Default
melodic,Default
at,Default
extent,Default
all,Default
slightest,Default
s,Default
ones,Default
implied,Default
what,Default
interrogative,Default
mentioned,verb
whichever,Default
clause,Default
information,Default
previously,Default
introduces,Default
further,Default
giving,noun;adjective;verb
relative,adjective;noun
about,adverb;adjective;preposition
who,pronoun;noun
now,conjunction;interjection;adverb;adjective;noun
whom,pronoun
people,verb;noun
clauses,verb;noun
could,noun;verb
exclusive,Default
two,Default
either,adverb;pronoun;conjunction
english,noun
each,adverb;pronoun;noun
formed,verb
alternative,adjective;noun
etc,adverb
sentences,verb;noun
least,adverb;noun
inclusive,Default
connects,Default
true,adverb;verb;adjective;noun
there,interjection;adverb;pronoun;noun
forms,verb;noun
values,verb;noun
denoting,verb
are,Default
propositions,Default
disjunction,Default
operator,Default
after,Default
counts,Default
possibilities,Default
before,Default
elements,Default
otherwise,Default
condition,Default
consequence,Default
previous,Default
false,Default
names,Default
equivalent,Default
category,Default
attributes,Default
collection,Default
sharing,Default
classes,verb;noun
social,Default
based,Default
three,Default
upper,Default
job,Default
working,Default
wealth,Default
society,Default
split,Default
middle,Default
commonly,Default
grouping,Default
britain,Default
main,Default
behavior,Default
admirable,Default
elegance,Default
meeting,Default
teacher,Default
regularly,Default
students,noun
scheduled,Default
series,Default
lessons,Default
covering,Default
commenced,Default
completed,Default
education,Default
during,Default
school,Default
year,Default
their,Default
transportation,Default
train,Default
mass,Default
airplane,Default
seats,Default
organisms,Default
below,Default
phylum,Default
rank,Default
taxon,Default
classification,Default
above,Default
kind,Default
best,Default
distribution,Default
frequency,Default
computation,Default
interval,Default
data,Default
shared,Default
sets,Default
property,Default
definable,Default
narrowly,Default
military,Default
draft,Default
persons,Default
conscripted,Default
actually,Default
same,pronoun;interjection;adjective
typically,Default
objects,Default
defining,Default
differing,Default
template,Default
state,Default
but,Default
supervised,Default
sections,Default
methodist,noun
divided,adjective;verb
congregation,noun
leader,noun
church,verb;noun
classify,verb
assign,verb;noun
classed,verb
grouped,verb
fabulous,adjective
great,interjection;adverb;adjective;noun
area,noun
physical,adjective;noun
within,adverb;adjective;preposition
somewhere,adverb;noun
space,Default
location,Default
position,Default
reader,Default
book,Default
current,Default
particularly,Default
extract,Default
topic,Default
frame,Default
mind,Default
square,Default
chess,Default
chessboard,Default
organization,Default
responsibility,Default
citadel,Default
town,Default
fortified,Default
walled,Default
fortress,Default
numerically,Default
counting,Default
quantity,Default
column,Default
proceeding,Default
relation,Default
ordinal,Default
making,Default
reception,Default
room,Default
implying,Default
detail,Default
part,Default
individual,Default
case,Default
own,Default
universals,Default
whole,Default
generals,Default
chiefly,Default
pertaining,Default
partial,Default
only,Default
specific,Default
concrete,Default
characteristic,Default
specialised,Default
known,Default
confidential,Default
constructions,Default
special,Default
some,Default
way,Default
negative,Default
minute,Default
precise,Default
fastidious,Default
concerned,Default
details,Default
attentive,Default
circumstantial,Default
limited,Default
estate,Default
holding,Default
genus,Default
denied,Default
affirmed,Default
relatively,Default
extension,Default
entity,noun
separate,Default
considered,Default
exist,Default
concept,noun
object,verb;noun
quality,Default
refer,Default
sign,noun
referent,Default
distinct,adjective
contrary,adverb;verb;adjective;noun
phenomenon,noun
genuine,adjective
exists,verb
belief,noun
expectation,noun
owned,verb
whatever,pronoun;interjection;adjective
corporeal,adjective
fashion,verb;noun
obsolete,adjective
fad,noun
somewhat,adverb;pronoun;noun
latest,adverb;adjective;noun
possessions,noun
equipment,noun
clothes,noun
goods,noun
container,noun
edible,Default
factor,Default
complicating,Default
dilemma,Default
problem,Default
penis,Default
being,Default
creature,Default
living,Default
matters,Default
crux,Default
noun,Default
dismissively,Default
surrounding,Default
situation,Default
favoured,Default
possessive,Default
preference,Default
personal,Default
germanic,Default
council,Default
public,Default
judicial,Default
country,Default
assembly,Default
relationship,Default
romantic,Default
reify,Default
direct,Default
show,Default
knowledge,Default
discover,Default
out,Default
remedies,Default
manifest,Default
symptoms,Default
proper,Default
desire,Default
vehicle,Default
turn,Default
right,Default
left,Default
engine,Default
power,Default
steam,Default
investigate,Default
indicator,Default
human,Default
body,Default
character,Default
seen,Default
courts,Default
standing,Default
specifically,Default
genitalia,Default
between,Default
speaker,Default
distinguish,Default
linguistic,Default
he,Default
grammatical,Default
she,Default
hydrozoa,Default
shoot,Default
higher,Default
zooid,Default
polyp,Default
also,Default
sense,Default
narrowest,Default
compound,Default
anthozoa,Default
animals,Default
plant,Default
bud,Default
among,Default
impersonate,Default
personify,Default
represent,Default
man,Default
gender,Default
neutral,Default
somebody,pronoun;noun
characterize,verb
term,verb;adjective;noun
substitute,verb;noun
title,verb;noun
descriptive,adjective;noun
many,pronoun;adjective;noun
odyssey,noun
iliad,Default
formulaic,adjective
contemptuous,adjective
scientific,adjective
following,noun;preposition;adjective;verb
species,noun
plants,verb;noun
applies,verb
bacteria,noun
corresponding,noun;adjective;verb
fungi,noun
vituperative,adjective
maltreatment,noun
scurrilous,adjective
reproachful,adjective
badly,adverb;adjective
treat,verb;noun
prone,Default
coarse,Default
deceive,Default
fraudulent,Default
tending,Default
abuse,Default
practising,Default
misuse,Default
physically,Default
characterized,Default
injurious,Default
repeated,Default
emotionally,Default
violence,Default
perverted,Default
misapplied,Default
illegal,Default
wrongly,Default
unjust,Default
catachrestic,Default
demean,Default
insensitive,Default
insolent,Default
rude,Default
affront,Default
assail,Default
preparation,Default
attack,Default
assault,Default
carry,Default
onset,Default
obnoxious,Default
over,Default
behave,Default
manner,Default
superior,Default
against,Default
upon,Default
trample,Default
leap,Default
insult,Default
intention,Default
representing,Default
glyph,Default
embodiment,Default
whereby,Default
context,Default
independently,Default
denotes,Default
arbitrarily,Default
refers,Default
icon,Default
index,Default
summary,Default
faith,Default
dogmatic,Default
assumed,Default
axes,Default
defines,Default
plane,Default
numerical,Default
common,Default
thrown,Default
fund,Default
duty,Default
accustomed,Default
hence,Default
appointed,Default
allotment,Default
share,Default
program,Default
source,Default
debugger,Default
internal,Default
relate,Default
compiled,Default
parts,Default
code,Default
cannot,Default
channel,Default
communications,Default
event,Default
signalling,Default
symbolize,Default
heading,Default
annotation,Default
commitment,Default
sound,Default
notice,verb;noun
observation,Default
heed,verb;noun
distinction,Default
notification,noun
intelligence,Default
mark,Default
disgrace,Default
remark,verb;noun
care,noun
observe,verb
record,noun
memorandum,noun
denote,verb
designate,adjective;verb
annotate,verb
down,preposition;verb;adverb;adjective;noun
musical,adjective;noun
bill,verb;noun
acceptance,noun
officially,adverb
protest,verb;noun
done,adjective;verb
notary,noun
refusal,noun
back,adverb;verb;adjective;noun
ground,verb;noun
then,Default
description,Default
predicates,Default
force,Default
adjective,Default
seeks,Default
fewer,Default
similar,Default
less,Default
comparison,Default
associated,Default
measure,Default
comparisons,Default
basis,Default
introduce,Default
because,Default
outside,Default
dialectal,Default
another,Default
dimensions,Default
usage,Default
notes,Default
much,Default
horizontal,Default
terminating,Default
duration,Default
seemingly,Default
boring,Default
lasting,Default
tedious,Default
tiring,Default
lot,Default
not,Default
tall,Default
commodities,Default
financial,Default
stocks,Default
possessing,Default
expected,Default
benefiting,Default
value,Default
aim,Default
bonds,Default
owning,Default
rise,Default
instruments,Default
close,Default
fielding,Default
closer,Default
boundary,Default
baseline,Default
landing,Default
ball,Default
therefore,Default
shot,Default
deemed,Default
beyond,Default
away,Default
far,Default
extended,Default
distant,Default
coming,Default
occurring,Default
long,Default
anything,Default
communicating,Default
transmission,Default
entities,Default
exchanging,Default
transferred,Default
essential,Default
parties,Default
both,Default
transfer,Default
instance,Default
locations,Default
passageway,Default
opening,Default
connection,Default
tissues,Default
organs,Default
cavities,Default
association,Default
company,Default
communion,Default
participation,Default
holy,Default
hearer,Default
we,pronoun
his,pronoun
i,noun
instead,adverb
trope,verb;noun
you,pronoun;verb
assumes,verb
partner,verb;noun
says,verb;noun
sentiments,noun
formalin,noun
gown,verb;noun
evening,noun
dress,verb;noun
parameter,noun
established,adjective;verb
accord,verb;noun
official,adjective;noun
structure,verb;noun
relating,Default
formation,noun
ceremonial,adjective;noun
traditional,adjective;noun
according,adverb;adjective;verb
casual,adjective;noun
etiquette,noun
strict,Default
planned,Default
organized,Default
well,Default
symbols,Default
strings,Default
regard,Default
manipulation,Default
mere,Default
construction,Default
evoked,Default
perception,Default
thereby,Default
feeling,Default
represented,Default
significance,Default
purpose,Default
existence,Default
importance,Default
provenance,Default
indicate,Default
originating,Default
starting,Default
reference,Default
removal,Default
indicating,Default
exclusion,Default
differentiation,Default
produced,Default
material,Default
causation,Default
nor,Default
dehumanized,Default
neither,Default
tries,Default
playground,Default
game,Default
tag,Default
catch,Default
players,Default
chases,Default
sex,Default
goes,Default
beauty,Default
appeal,Default
sexual,Default
activity,Default
vitalist,Default
biological,Default
beings,Default
georg,Default
groddeck,Default
approach,Default
inhabits,Default
belonging,Default
intent,Default
particle,Default
wish,Default
accomplished,Default
followed,Default
hope,Default
take,Default
superintend,Default
attend,Default
fix,Default
stretch,Default
distend,Default
extend,Default
tense,verb;noun
strain,Default
intensify,Default
strengthen,Default
apply,Default
energy,Default
journey,Default
bend,Default
course,Default
artistically,Default
design,Default
mechanically,Default
mold,Default
counterfeit,Default
simulate,adjective;verb
pretend,adjective;verb
e,Default
fianc,Default
forcible,adjective
violent,verb;adjective;noun
stretched,verb
experience,verb;noun
definition,noun
self,pronoun;verb;adjective;noun
souls,verb;noun
moves,verb;noun
soul,verb;noun
through,adverb;preposition;adjective;noun
ghost,verb;noun
supernatural,adjective;noun
exclusively,adverb
angel,verb;noun
fairy,Default
enthusiasm,Default
alcohol,Default
generic,Default
liquid,Default
beverages,Default
volatile,Default
alcoholic,Default
distilled,Default
spirits,Default
ardour,Default
evinces,Default
lively,Default
vivacious,Default
peculiar,Default
temper,Default
disposition,Default
mental,Default
moral,Default
intellectual,Default
life,Default
breath,Default
breathing,Default
air,Default
aspiration,Default
h,Default
aspirate,Default
rough,Default
real,Default
arsenic,Default
ammoniac,Default
substances,Default
quicksilver,Default
sal,Default
orpiment,Default
four,Default
sulphur,Default
stannic,Default
chloride,Default
dyeing,Default
haste,Default
secrecy,Default
off,Default
mystery,Default
vigor,Default
inspirit,Default
excite,Default
encourage,Default
animate,Default
epigraphy,Default
error,Default
affects,Default
scribal,Default
occasionally,Default
misprint,Default
computer,Default
propositional,Default
variable,Default
wp,Default
negation,Default
figurative,Default
stated,Default
understood,Default
interpretation,Default
read,Default
additional,Default
exactly,Default
metaphorical,Default
free,Default
exact,Default
liberties,Default
unimaginative,Default
intensifier,Default
literally,Default
non,Default
disconnected,Default
inaccessible,Default
likelihood,Default
respect,Default
slight,Default
detached,Default
others,verb;noun
different,adverb;adjective;noun
recognize,Default
distinctly,Default
clearly,Default
better,Default
accomplishments,Default
oneself,Default
noticeably,adverb
differ,verb
eminent,adjective
past,preposition;verb;adverb;adjective;noun
celebrated,adjective;verb
achievements,noun
prestigious,adjective
dignified,adjective;verb
demeanor,noun
appearance,noun
specified,adjective;verb
noted,adjective;verb
whose,Default
nature,verb;noun
defined,adjective;verb
yet,adverb;conjunction
forgotten,Default
song,Default
unimportant,Default
unknown,Default
indefinitely,adverb
pronoun,noun
referred,verb
g,Default
earlier,Default
applied,Default
specify,Default
degree,Default
high,Default
